Zdjęcie satelitarne patrzące w dół na Ziemię.	A satellite picture looking down at the earth.	Zdjęcie satelitarne Ziemii.
Urządzenie radiowe kontroluje każdy mój krok, a czujnik podnosi moją stopę za mnie przy każdym kroku.	A radio device is controlling every step I take and a sensor picks up my foot for me every time I walk.	Urządzenie radiowe kontroluje każdy krok który robię. I czujnik podrywa moją stopę do góry za mnie za każdym razie kiedy idę.
Zrobię dokładnie to, co mi powiedziano.	I will do exactly as I am told.	Zastosuję się do nich co do joty.
Więc niebiosa — co miałem zrobić? Już nie potrzebowałem kijków, nie wolno mi było ich mieć.	So heavens What was I to do I no longer required the sticks I wasn not allowed to have these sticks.	Nie wiedziałam co robić. Kazał nie używać pałek. Nie wiedziałam co robić. Kazał nie używać pałek.
DJ: To było niesamowite, bo widać, że ten lew robi dokładnie to, co sugeruje jego imię — koncentruje się na tej hienie i zamierza ją dorwać.	DJ It was amazing because you can see that this lion is doing exactly what his name He is focused on this hyena and he is going to get it.	Dereck To niezwykłe ale możecie się przekonać że ten lew robi dokładnie to Skupił się na tej hienie i dopadnie ją.
I to zmieni świat, jaki znamy.	And it is going to change the world as we know it.	Zmieni to świat który znamy.
A co z wszystkimi dziećmi takimi jak ja, które były w szkole — dziećmi takimi jak niektórzy z was — które nie miały szansy i nigdy jej nie dostaną, by uczestniczyć w nauce i technologii?	What about all the kids like me that were in school kids like some of you out there that were in school and didn not get a chance and will never get a chance to participate in science and technology.	Co z dziećmi jak ja takimi jak niektórzy z was które chodziły do szkoły ale nie miały okazji zaznajomić się z nauka i technologią?
Jeśli więc korzystasz z Twittera lub innych sieci społecznościowych i nie zdawałeś sobie sprawy, że to przestrzeń pełna Brazylijczyków, jesteś jak większość z nas.	Now if you are using Twitter or other social networks and you didn not realize this was a space with a lot of Brazilians in it you are like most of us.	Jeśli używacie Twittera lub innych portali i nie zdajecie sobie sprawy że jest tam sporo Brazylijczyków to witam w klubie.
Brazylijczycy poszli na ten pierwszy mecz z Koreą Północną, rozwinęli transparent, rozpoczęli kampanię na Twitterze i próbowali przekonać resztę z nas, by tweetowała hasło „Cala a boca Galv?o”.	So Brazilians went to that first match against North Korea put up this banner started a Twitter campaign and tried to convince the rest of us to tweet the phrase Cala a boca Galvao.	Brazylijczycy poszli na pierwszy mecz z Koreą Północną wzięli ten baner zaczęli kampanię na Twitterze i spróbowali przekonać innych żeby wrzucić wyrażenie Cala a boca Galvao .
Ale to właśnie to jedno wyrażenie naprawdę mnie stresowało, bo nie mogłem go rozgryźć — to hasło: „Cala a boca Galv?o”.	But the one that is really been sort of stressing me out that I haven not been able to figure out is this phrase Cala a boca Galvao.	Ale wyrażeniem które mnie denerwowało którego nie mogłem rozgryźć Cala a boca Galvao .
Niektóre z nich — te najważniejsze — są psychiczne.	Some of them the most important are mental.	A jeszcze inne najważniejsze umysłowe.
A na koniec pokażę wam przykład — historię kota o imieniu Dusty.	And last I am going to show you the example the story of Dusty the cat.	Na koniec pokażę wam przykład historię kota Dusty ego.
Mózg nartnika nie potrzebuje żadnego oprogramowania 3D, ponieważ żyje na powierzchni stawu — w płaskim świecie Edwina Abbotta.	A water strider is brain doesn not need 3D software at all since it lives on the surface of the pond in an Edwin Abbott flatland.	Mózg nartnika wodnego w ogóle nie potrzebuje pojęcia 3D ponieważ żyje na powierzchni wody we flatlandii Edwina Abbotta.
Twoim zadaniem jest wykopywać rzeczy takie jak ta na pierwszym planie i sprawiać, że trafią na karty historii.	Your job is to excavate things like this in the foreground and make them enter the pages of history.	Wydobywamy to co widać w tle żeby odnotować to w historii dziejów.
A teraz, by przenieść nas do współczesności, występuje mój współpracownik i ekspert od cymatyki — John Stuart Reed.	Then bringing us into the present day is a fellow collaborator of mine and cymatics expert John Stewart Reed.	Wracając zaś do teraźniejszości przykładem jest mój współpracownik i ekspert w dziedzinie kymatyki John Stewart Reed.
Masz więc te trzy tajemnice.	So you have these three mysteries.	Mamy te trzy zagadki.
A więc ten materiał początkowy to powrót do podstawowego budulca.	And so this starting material is back to the basic building block.	I tak ten materiał początkowy na nowo staje się podstawowym elementem budulcowym.
I właściwie znalazłem całą masę krewnych generała Tso, którzy wciąż mieszkają w tym małym miasteczku.	And I actually found a whole bunch of General Tso is relatives who are still in the little town.	I odnalazłam wielu krewnych generała którzy wciąż tu mieszkają.
Ale możemy posunąć ten pomysł jeszcze dalej.	But we can push this idea further.	Możemy pójść dalej.
Cóż, byłem dorosłym mężczyzną, który miał te wszystkie rytuały i doszło do tego, że pojawił się pulsujący, dziki strach w mojej głowie.	Well I was a grown man who had all of these rituals and it got so there was a throbbing there was a ferocious fear in my head.	Byłem dorosłym człowiekiem a rządziły mną wszystkie te nawyki i doszło do tego że miałem w głowie poczucie pulsującego dzikiego lęku.
Podam wam przykład.	I will give you an example.	Dam wam przykład.
Pokazałem im wszystkie zdjęcia kurczaka generała Tso, które wam pokazałem, a oni powiedzieli: „Nie znamy tego dania”.	Showed them all the pictures of General Tso Chicken that I showed you and they are like we don not know this dish.	Pokazałam im te same zdjęcia kurczaka generała Tso co wam. Nikt z nich nie znał tej potrawy.
Co to jest?	What is this.	Co to?
Chcemy wiedzieć, jak przechodzi się od wody i białka do tego ciekłego Kevlaru — do tego naturalnego Kevlaru.	We want to know how you go from water and protein to this liquid Kevlar to this natural Kevlar.	Chcemy wiedzieć jak z wody i białka dojść do tego płynnego kevlaru naturalnego kevlaru.
Więc nie jestem od tego wszystkiego wolny, ale to działało. Zawsze działało.	So I am not free of all of this But it is worked It is always worked.	Nie byłem w stanie uwolnić się od niej zupełnie. Ale to zadziałało. To zawsze działało.
Mój ojciec, oczywiście z życzliwością, obserwował demonstracje majowe, ale jego serce było gdzie indziej, tak samo jak jego czas, bo musiał obsługiwać ponad 15 krajów.	My father watched benevolently of course the demonstrations of the month of May but his heart was elsewhere and so was his time because he had over 15 countries to serve.	Mój ojciec obserwował oczywiście życzliwie demostracje w maju ale jego serce było gdzie indziej miał 15 krajów do obsłużenia.
Wszystkie ruchy zatrzymały się na fałszerstwie.	All the movements stopped at falsifying.	Wszystkie ruchy zatrzymywały się przy falsyfikowaniu.
Nie możemy się już bardziej rozwijać, ponieważ naruszamy granice planetarne.	We cannot expand anymore because it erodes the planetary boundaries.	Nie możemy się bardziej rozszerzać bo to nadszarpuje granice planetarne.
Założył prasę. Zaczął fotograwiurę.	He started a press He started photoengraving.	Uruchomił prasę. Zajął się fotograwiurą.
Zrobiłem kampanię reklamową dla Schweppesa, który należy do Coca-Coli, więc to było bardzo interesujące z punktu widzenia prawnego.	I did an advertising campaign for Schweppes which is Coca Cola and so that was very interesting in terms of the legalities.	Zrobiłam kampanię reklamową Schweppes a dla Coca Coli i to było bardzo ciekawe jeśli chodzi o zgodność z prawem.
Oczywiście były też poświęcenia finansowe, bo zawsze odmawiał przyjmowania zapłaty.	There were obviously financial sacrifices because he always refused to be paid.	Były oczywiście finansowe ofiary ponieważ zawsze odmawiał zapłaty.
To jest więc odpowiednik Wielkiego Wybuchu, jeśli chodzi o rozwój ludzkości w granicach bezpiecznej przestrzeni operacyjnej planety.	Now this is the Big Bang equivalent then of human development within the safe operating space of the planetary boundaries.	To jest odpowiednik Wielkiego Wybuchu w rozwoju ludzkości wewnątrz bezpiecznej przestrzeni planetarnych granic.
Ale nawet w twardej polityce mamy innowacje.	But even on the hard policy area we have innovations.	Innowacje pojawiają się również w cięższych obszarach polityki.
Mój ojciec fałszował dokumenty dla amerykańskich dezerterów, którzy nie chcieli podnosić broni przeciwko Wietnamczykom.	My father made false papers for the American deserters who did not wish to take up arms against the Vietnamese.	Mój ojciec wyrabiał fałszywe papiery dla amerykańskich dezerterów którzy nie chcieli walczyć przeciw Wietnamczykom.
Tak czy inaczej, nikt by za nimi nie poszedł, oprócz garstki ludzi pełnych przekonań i odwagi.	Anyhow nobody would have followed them except for a handful of men and women of conviction and courage.	Tak czy owak nikt by za nimi nie podążał poza garstką mężczyzn i kobiet z przekonaniem i odwagą.
A wszystko, co mogłem wyczuć, to ta energia — energia.	And all I could detect was this energy energy.	Docierała do mnie jedynie energia.
Ta seria wystaw została stworzona specjalnie po to, by zakwestionować ideę, co dziś — w tym momencie historii — znaczy postrzegać sztukę jako katalizator, co znaczy dziś redefiniować kulturę, w moim przypadku czarną kulturę, ale ogólnie kulturę.	This series of exhibitions was made specifically to try and question the idea of what it would mean now at this point in history to see art as a catalyst what it means now at this point in history as we define and redefine culture black culture specifically in my case but culture generally.	Ta seria wystaw została stworzona specjalnie po to by zadać pytanie co znaczy dziś w tym momencie historii widzieć sztukę jako katalizator co znaczy dziś w tym momencie historii kiedy definiujemy i redefiniujemy kulturę kulturę afroamerykańską w moim przypadku ale też kulturę ogólnie.
Wtedy stałem się trochę bardziej ambitny i postanowiłem sprawdzić, co jeszcze mogą robić dzieci z komputerem.	At that point I became a little more ambitious and decided to see what else could children do with a computer.	Od tej pory stałem się ambitniejszy i postanowiłem zobaczyć co jeszcze potrafią zrobić dzieci z komputerem.
Nie można ich winić — to nie ich odpowiedzialność, to moja odpowiedzialność. Muszę sam rozwiązywać swoje problemy.	You can not rightly it is not their responsibility it is my responsibility I have to take care of my own problems.	To się nie uda. To nie ich odpowiedzialność. To moja odpowiedzialność. Sam muszę sobie poradzić z własnymi problemami.
To było delikatne — musieliśmy iść wyżej w łańcuchu dowodzenia, przekonać ich, że to właściwe działanie, i zrobić to wszystko za pośrednictwem mediów elektronicznych.	It was sensitive we had to go up the chain of command convince them that this was the right thing to do and do all of this on electronic medium.	To była delikatna materia musieliśmy dotrzeć do najwyższego dowództwa przekonać ich że to jest dokładnie to co trzeba zrobić i przeprowadzić to wszystko przy pomocy mediów elektronicznych.
A sposób, by zadać to pytanie, to porównać neandertalczyka z południowej Europy do genomów ludzi żyjących dziś.	And the way to ask that question is to look at the Neanderthal that comes from Southern Europe and compare it to genomes of people who live today.	I sposobem zadania tego pytania jest przyjrzenie się neandertalczykom z Europy Południowej i porównanie ich do genomów współczesnych ludzi.
Zdecydowaliśmy, że musimy poprzeć nasze słowa czynami.	We decided that we needed to put our money where our mouth is.	Postanowiliśmy że musimy poprzeć słowa czynami.
Bum.	Boom.	Bum!
A żeby zacząć odpowiadać na takie pytania, moja grupa badawcza od ponad 25 lat pracuje nad metodami pozyskiwania DNA z pozostałości neandertalczyków i wymarłych zwierząt sprzed dziesiątek tysięcy lat.	And to begin to answer such questions my research group since over 25 years now works on methods to extract DNA from remains of Neanderthals and extinct animals that are tens of thousands of years old.	I by zacząć odpowiadać na takie pytania moja grupa badawcza od przeszło 25 lat pracuje nad metodami ekstrakcji DNA z pozostałości neandertalczyków i wymarłych zwierząt które mają dziesiątki tysięcy lat.
Poszliśmy dalej — nawiązaliśmy współpracę z Uniwersytetem Technologicznym Jamajki, gdzie obecnie mam stanowisko.	We have gone further we have formed a relationship with the University of Technology Jamaica where I now have an appointment.	Poszliśmy dalej nawiązaliśmy kontakt z Uniwersytetem Technologicznym na Jamajce. gdzie obecnie wykładam.
Wiesz, że to będzie zmienne.	You know it is going to be variable.	Rozumiecie są różne przypadki.
Więc powiedziałem: Tak, zostawię to tutaj na dwa miesiące.	So I said Yeah I will leave it here for two months.	Ja na to Cóż zostawiam go tu na 2 miesiące.
Innymi słowy, wykorzystaj tę fiksację, by zmotywować to dziecko — to jedna z rzeczy, które musimy robić.	In other words use that fixation in order to motivate that kid that is one of the things we need to do.	Innymi słowy należy wykorzystać obsesję żeby zmotywować dziecko tym musimy się zająć.
A ona powiedziała: Cóż, to ładne, ale wiesz, nasz kolor to tak naprawdę zielony. I wtedy nauczyłem się, że słuchanie to nie tylko cierpliwość, ale też zrozumienie, że jeśli całe życie byłeś zależny od czyjejś łaski, to naprawdę trudno powiedzieć, co się naprawdę myśli.	And she said Well it is pretty but you know our color really it is green And I learned then that listening isn not just about patience but that when you have lived on charity and dependent your whole life long it is really hard to say what you mean.	A ona powiedziała Cóż jest ładnie ale wiesz ten kolor tak naprawdę jest zielony. I I dowiedziałam się że słuchanie nie polega jedynie na cierpliwości ale jeśli utrzymujesz się z pracy charytatywnej i od tego uzależniasz całe swoje życie naprawdę ciężko jest powiedzieć co naprawdę myślisz.
A potem — to ona, tam.	And then that is her over there.	Widzicie ją teraz.
Chcieli integracji zespołu — żeby to maszyna wpływała na członków zespołu, a nie odwrotnie.	They wanted band integration that is the machine acting upon the band members specifically not the other way around.	Zespół miał byś zinetgrowany maszyna miała działać w oparciu o członków zespołu a przede wszystkim nie na odwrót.
I wyzwał mnie, bym rozgryzł pokój z iluzją optyczną.	And he got me challenged to figure out an optical illusion room.	Rzucił mi wyzwanie miałam opracować salę złudzeń optycznych. Rzucił mi wyzwanie miałam opracować salę złudzeń optycznych.
Dwa miesiące później — i to jest już udokumentowane w czasopiśmie „Information Technology for International Development” — akcenty się zmieniły i były zadziwiająco bliskie neutralnemu brytyjskiemu akcentowi, w którym trenowałem syntezator mowy.	Two months later and this is now documented in the Information Technology for International Development journal that accents had changed and were remarkably close to the neutral British accent in which I had trained the speech to text synthesizer.	Dwa miesiące później napisaliśmy na ten temat artykuł w czasopiśmie Informatyka w kształceniu  ich akcent się zmienił i był znacznie bliższy neutralnemu brytyjskiemu akcentowi na którym trenowałem program.
Powiedziałem: Nie — użyj metody babci.	I said No use the method of the grandmother.	Odparłem Nie użyj metody babci.
Myślę, że naszym wrogiem była fizyka — a ona jest okrutną panią.	I think our enemy was physics and she is a cruel mistress.	Myślę że naszym wrogiem była fizyka a jest ona okrutną kochanką.
