Obraz satelitarny Ziemi widzianej z góry.	A satellite picture looking down at the earth.	Zdjęcie satelitarne Ziemii.
Aby przekształcić te nieprzejrzyste 90 000 godzin wideo w coś, co moglibyśmy zacząć widzieć, użyliśmy analizy ruchu, aby wydobyć, gdy poruszamy się w przestrzeni i czasie, to, co nazywamy robakami czasoprzestrzennymi.	In order to convert this opaque 90000 hours of video into something that we could start to see we use motion analysis to pull out as we move through space and through time what we call space time worms.	W celu przekonwertowania tych złożonych 90 tys. godzin nagrań video w coś co moglibyśmy zacząć rozumieć korzystamy z analizy ruchu w celu wydobycia w miarę jak poruszamy się w czasie i przestrzeni tzw. robaków czasoprzestrzennych .
Dlaczego pokazałem na początku lat 2000, że kraje z wyższym odsetkiem godnych zaufania ludzi są bardziej zamożne.	Why I had shown in the early 2000s that countries with a higher proportion of trustworthy people are more prosperous.	Dlaczego? Wykazałem około roku 2000 że kraje z wyższym odsetkiem wiarygodnych ludzi lepiej prosperują.
Więc mimo że mam lęk wysokości, niedawno przypiąłem się do innego człowieka i wyskoczyłem z samolotu na wysokości 12 000 stóp.	So even though I have a fear of heights I recently strapped myself to another human being and stepped out of an airplane at 12000 ft.	więc ostatnio mimo tego że mam lęk wysokości pozwoliłem przypiąć się do innego człowieka i wyskoczyłem z samolotu na wysokości 3650 metrów.
Ale potem pojechałem na spotkanie do Włoch.	And but then I went to a meeting in Italy.	I później udałem się na konferencję do Włoch.
Bo tak się robi z pękniętą szybą.	Because that is what you do with a cracked pane.	Bo tak się właśnie robi z pękniętą szybą.
Margines błędu jest wąski. Tutaj umieściłem średnią długość życia po urodzeniu, od 30 lat w niektórych krajach do około 70 lat.	The error margin is narrow Here I put life expectancy at birth from 30 years in some countries up to about 70 years.	Margines błędu jest mały. Tu wpisałem oczekiwaną średnią długość życia przy urodzeniu od 30 lat w niektórych krajach aż do około 70 lat.
I jedno z pytań, z którego wiele się nauczyłem, brzmiało: Który kraj ma najwyższą śmiertelność dzieci spośród tych pięciu par?	And one of the questions from which I learned a lot was this one Which country has the highest child mortality of these five pairs.	Jedno z pytań z których się wiele dowiedziałem było następujące W którym kraju z tych pięciu par jest najwyższa śmiertelność wśród dzieci?
Podłączone typowo przewodem 14-żyłowym.	Wired with 14 gauge wire typically.	Zwykle jest wyposażony w kabel kalibru 14.
Ale po prostu zapytaj, jak cząsteczka, jak powinna się złożyć?	But just ask what the molecule how should it fold up.	Ale pojawiło się pytanie jak ta molekuła jest zwinięta?
Jeśli coś nie jest doskonałe, jeśli nie pasuje do tego z góry ustalonego modelu, śmietnik.	If something isn not perfect if it doesn not line up with that premeditated model dumpster.	Jeśli coś nie jest doskonałe jeśli nie pasuje do zaplanowanego modelu do kosza.
Ups, to, ups, tamto. Wysypisko, wysypisko, wysypisko.	Oops this oops that Landfill Landfill Landfill.	Ups to ups tamto. Śmietnik. Śmietnik. Śmietnik.
Teraz cały ten apolliński model platoński jest podstawą przemysłu budowlanego i istnieje wiele rzeczy, które to pogarszają.	Now all that that Apollonian Platonic model is what the building industry is predicated on and there are a number of things that exacerbate that.	Więc cały ten apolliński platoński model to na nim się opiera przemysł budowlany i kilka rzeczy to jeszcze pogarsza.
Co myślisz, kochanie?	What do you think honey.	Co o tym myślisz kochanie?
Biolog Lewis Wolpert uważa, że dziwność współczesnej fizyki jest jedynie skrajnym przykładem. Nauka, w przeciwieństwie do technologii, gwałci zdrowy rozsądek.	The biologist Lewis Wolpert believes that the queerness of modern physics is just an extreme example Science as opposed to technology does violence to common sense.	Biolog Lewis Wolpert jest przekonany że dziwność współczesnej fizyki to tylko skrajny przykład. Nauka w przeciwieństwie do technologii krzywdzi zdrowy rozsądek.
Jednak to, co muszę robić jako muzyk, to robić wszystko, czego nie ma w muzyce.	However what I have to do as a musician is do everything that is not on the music.	Jako muzyk zajmuję się jednak tym czego w nutach nie ma.
Ale to jest, myślę, o co w tym wszystkim chodzi, że te osoby mają te osobowości i charaktery.	But that is I think what this is all about is that these individuals have these personalities and characters.	Myślę że właśnie o to w tym wszystkim chodzi te wszystkie zwierzęta mają swoje osobowości i charaktery.
Muszę zagrać utwór muzyczny. O, to pomoże ci w kontroli.	I need to play a piece of music Oh well this will help your control.	Oni To pomaga wyćwiczyć kontrolę .
Teraz jestem skazany na spędzanie dużo czasu z niektórymi unikalnymi, bardzo, bardzo wyjątkowymi, indywidualistycznymi i często uwodzicielskimi postaciami kobiecymi.	Now I am destined to spend a lot of time with some unique very very special individualistic and often seductive female characters.	Coż jestem skazany na spędzanie mnóstwa czasu z wyjątkowymi bardzo bardzo szczególnymi indywidualistycznymi i często uwodzicielskimi istotami płci żeńskiej.
Pamiętam mojego nauczyciela. Kiedy zaczynałem moją pierwszą lekcję, byłem cały przygotowany, z pałkami gotowymi do działania.	I remember my teacher When I first started my very first lesson I was all prepared with sticks ready to go.	Pamiętam że na pierwszą lekcję przyszłam z pałkami gotowa grać.
Urządzenie radiowe kontroluje każdy mój krok, a czujnik podnosi moją stopę za każdym razem, gdy idę.	A radio device is controlling every step I take and a sensor picks up my foot for me every time I walk.	Urządzenie radiowe kontroluje każdy krok który robię. I czujnik podrywa moją stopę do góry za mnie za każdym razie kiedy idę.
Zrobię dokładnie to, co mi każą.	I will do exactly as I am told.	Zastosuję się do nich co do joty.
Więc na litość boską, co miałem zrobić? Nie potrzebowałem już pałek, nie wolno mi było ich mieć.	So heavens What was I to do I no longer required the sticks I wasn not allowed to have these sticks.	Nie wiedziałam co robić. Kazał nie używać pałek. Nie wiedziałam co robić. Kazał nie używać pałek.
DJ To było niesamowite, ponieważ widać, że ten lew robi dokładnie to, co jego imię. Jest skupiony na tej hienie i zamierza ją zdobyć.	DJ It was amazing because you can see that this lion is doing exactly what his name He is focused on this hyena and he is going to get it.	Dereck To niezwykłe ale możecie się przekonać że ten lew robi dokładnie to Skupił się na tej hienie i dopadnie ją.
I to zmieni świat, jaki znamy.	And it is going to change the world as we know it.	Zmieni to świat który znamy.
Co z wszystkimi dziećmi, takimi jak ja, które były w szkole, dziećmi, takimi jak niektórzy z was, które były w szkole i nie miały szansy i nigdy nie będą miały szansy uczestniczyć w nauce i technologii?	What about all the kids like me that were in school kids like some of you out there that were in school and didn not get a chance and will never get a chance to participate in science and technology.	Co z dziećmi jak ja takimi jak niektórzy z was które chodziły do szkoły ale nie miały okazji zaznajomić się z nauka i technologią?
Teraz, jeśli używasz Twittera lub innych sieci społecznościowych i nie zdajesz sobie sprawy, że to jest przestrzeń z dużą ilością Brazylijczyków, jesteś jak większość z nas.	Now if you are using Twitter or other social networks and you didn not realize this was a space with a lot of Brazilians in it you are like most of us.	Jeśli używacie Twittera lub innych portali i nie zdajecie sobie sprawy że jest tam sporo Brazylijczyków to witam w klubie.
Więc Brazylijczycy poszli na ten pierwszy mecz z Koreą Północną, wywiesili ten baner, rozpoczęli kampanię na Twitterze i próbowali przekonać resztę z nas, by tweetować frazę „Cala a boca Galvao”.	So Brazilians went to that first match against North Korea put up this banner started a Twitter campaign and tried to convince the rest of us to tweet the phrase Cala a boca Galvao.	Brazylijczycy poszli na pierwszy mecz z Koreą Północną wzięli ten baner zaczęli kampanię na Twitterze i spróbowali przekonać innych żeby wrzucić wyrażenie Cala a boca Galvao .
Ale ta, która naprawdę mnie stresowała, a której nie byłem w stanie rozgryźć, to fraza „Cala a boca Galvao”.	But the one that is really been sort of stressing me out that I haven not been able to figure out is this phrase Cala a boca Galvao.	Ale wyrażeniem które mnie denerwowało którego nie mogłem rozgryźć Cala a boca Galvao .
Niektóre z nich, najważniejsze, są psychiczne.	Some of them the most important are mental.	A jeszcze inne najważniejsze umysłowe.
Na koniec pokażę wam przykład, historię kota Dusty'ego.	And last I am going to show you the example the story of Dusty the cat.	Na koniec pokażę wam przykład historię kota Dusty ego.
Mózg nartnika wodnego w ogóle nie potrzebuje oprogramowania 3D, ponieważ żyje na powierzchni stawu w płaskim świecie Edwina Abbotta.	A water strider is brain doesn not need 3D software at all since it lives on the surface of the pond in an Edwin Abbott flatland.	Mózg nartnika wodnego w ogóle nie potrzebuje pojęcia 3D ponieważ żyje na powierzchni wody we flatlandii Edwina Abbotta.
Twoim zadaniem jest wykopywanie takich rzeczy na pierwszym planie i wprowadzanie ich na karty historii.	Your job is to excavate things like this in the foreground and make them enter the pages of history.	Wydobywamy to co widać w tle żeby odnotować to w historii dziejów.
Następnie, przenosząc nas do dnia dzisiejszego, jest mój współpracownik i ekspert od cymatyki, John Stewart Reid.	Then bringing us into the present day is a fellow collaborator of mine and cymatics expert John Stewart Reed.	Wracając zaś do teraźniejszości przykładem jest mój współpracownik i ekspert w dziedzinie kymatyki John Stewart Reed.
Masz więc te trzy tajemnice.	So you have these three mysteries.	Mamy te trzy zagadki.
I tak ten materiał wyjściowy wraca do podstawowego budulca.	And so this starting material is back to the basic building block.	I tak ten materiał początkowy na nowo staje się podstawowym elementem budulcowym.
I faktycznie znalazłem całą masę krewnych Generała Tso, którzy nadal mieszkają w małym miasteczku.	And I actually found a whole bunch of General Tso is relatives who are still in the little town.	I odnalazłam wielu krewnych generała którzy wciąż tu mieszkają.
Ale możemy pójść z tym pomysłem dalej.	But we can push this idea further.	Możemy pójść dalej.
Cóż, byłem dorosłym mężczyzną, który miał wszystkie te rytuały, i doszło do tego, że w mojej głowie pulsował strach, strach okrutny.	Well I was a grown man who had all of these rituals and it got so there was a throbbing there was a ferocious fear in my head.	Byłem dorosłym człowiekiem a rządziły mną wszystkie te nawyki i doszło do tego że miałem w głowie poczucie pulsującego dzikiego lęku.
Dam ci przykład.	I will give you an example.	Dam wam przykład.
Pokazałem im wszystkie zdjęcia kurczaka Generała Tso, które wam pokazałem, a oni na to: Nie znamy tego dania.	Showed them all the pictures of General Tso Chicken that I showed you and they are like we don not know this dish.	Pokazałam im te same zdjęcia kurczaka generała Tso co wam. Nikt z nich nie znał tej potrawy.
Co to jest?	What is this.	Co to?
Chcemy wiedzieć, jak przechodzi się od wody i białka do tego płynnego Kevlaru, do tego naturalnego Kevlaru.	We want to know how you go from water and protein to this liquid Kevlar to this natural Kevlar.	Chcemy wiedzieć jak z wody i białka dojść do tego płynnego kevlaru naturalnego kevlaru.
Więc nie jestem wolny od tego wszystkiego. Ale to zadziałało. Zawsze działało.	So I am not free of all of this But it is worked It is always worked.	Nie byłem w stanie uwolnić się od niej zupełnie. Ale to zadziałało. To zawsze działało.
Mój ojciec oczywiście życzliwie obserwował majowe demonstracje, ale jego serce było gdzie indziej, podobnie jak jego czas, ponieważ miał ponad 15 krajów do obsługi.	My father watched benevolently of course the demonstrations of the month of May but his heart was elsewhere and so was his time because he had over 15 countries to serve.	Mój ojciec obserwował oczywiście życzliwie demostracje w maju ale jego serce było gdzie indziej miał 15 krajów do obsłużenia.
Wszystkie ruchy zatrzymały się na fałszowaniu.	All the movements stopped at falsifying.	Wszystkie ruchy zatrzymywały się przy falsyfikowaniu.
Nie możemy się już rozszerzać, ponieważ niszczy to granice planetarne.	We cannot expand anymore because it erodes the planetary boundaries.	Nie możemy się bardziej rozszerzać bo to nadszarpuje granice planetarne.
Założył wydawnictwo. Zaczął fotograwerować.	He started a press He started photoengraving.	Uruchomił prasę. Zajął się fotograwiurą.
Zrobiłem kampanię reklamową dla Schweppesa, który należy do Coca-Coli, więc było to bardzo interesujące pod względem prawnym.	I did an advertising campaign for Schweppes which is Coca Cola and so that was very interesting in terms of the legalities.	Zrobiłam kampanię reklamową Schweppes a dla Coca Coli i to było bardzo ciekawe jeśli chodzi o zgodność z prawem.
Oczywiście były wyrzeczenia finansowe, ponieważ zawsze odmawiał przyjęcia zapłaty.	There were obviously financial sacrifices because he always refused to be paid.	Były oczywiście finansowe ofiary ponieważ zawsze odmawiał zapłaty.
To jest odpowiednik Wielkiego Wybuchu w rozwoju człowieka, w bezpiecznej przestrzeni operacyjnej granic planetarnych.	Now this is the Big Bang equivalent then of human development within the safe operating space of the planetary boundaries.	To jest odpowiednik Wielkiego Wybuchu w rozwoju ludzkości wewnątrz bezpiecznej przestrzeni planetarnych granic.
Ale nawet w obszarze twardej polityki mamy innowacje.	But even on the hard policy area we have innovations.	Innowacje pojawiają się również w cięższych obszarach polityki.
Mój ojciec fałszował dokumenty dla amerykańskich dezerterów, którzy nie chcieli walczyć z Wietnamczykami.	My father made false papers for the American deserters who did not wish to take up arms against the Vietnamese.	Mój ojciec wyrabiał fałszywe papiery dla amerykańskich dezerterów którzy nie chcieli walczyć przeciw Wietnamczykom.
Tak czy inaczej, nikt by za nimi nie poszedł, poza garstką mężczyzn i kobiet o przekonaniach i odwadze.	Anyhow nobody would have followed them except for a handful of men and women of conviction and courage.	Tak czy owak nikt by za nimi nie podążał poza garstką mężczyzn i kobiet z przekonaniem i odwagą.
I wszystko, co mogłem wykryć, to ta energia, energia.	And all I could detect was this energy energy.	Docierała do mnie jedynie energia.
Ta seria wystaw została stworzona specjalnie, aby spróbować zakwestionować ideę, co by to znaczyło teraz, w tym momencie historii, postrzegać sztukę jako katalizator, co to oznacza teraz, w tym momencie historii, gdy definiujemy i redefiniujemy kulturę, w moim przypadku konkretnie kulturę czarną, ale kulturę ogólnie.	This series of exhibitions was made specifically to try and question the idea of what it would mean now at this point in history to see art as a catalyst what it means now at this point in history as we define and redefine culture black culture specifically in my case but culture generally.	Ta seria wystaw została stworzona specjalnie po to by zadać pytanie co znaczy dziś w tym momencie historii widzieć sztukę jako katalizator co znaczy dziś w tym momencie historii kiedy definiujemy i redefiniujemy kulturę kulturę afroamerykańską w moim przypadku ale też kulturę ogólnie.
W tym momencie stałem się trochę ambitniejszy i postanowiłem sprawdzić, co jeszcze dzieci mogą zrobić z komputerem.	At that point I became a little more ambitious and decided to see what else could children do with a computer.	Od tej pory stałem się ambitniejszy i postanowiłem zobaczyć co jeszcze potrafią zrobić dzieci z komputerem.
Nie możesz słusznie, to nie ich odpowiedzialność, to moja odpowiedzialność. Muszę zająć się własnymi problemami.	You can not rightly it is not their responsibility it is my responsibility I have to take care of my own problems.	To się nie uda. To nie ich odpowiedzialność. To moja odpowiedzialność. Sam muszę sobie poradzić z własnymi problemami.
Było to delikatne, musieliśmy iść w górę łańcucha dowodzenia, przekonać ich, że to właściwa rzecz do zrobienia i zrobić to wszystko w formie elektronicznej.	It was sensitive we had to go up the chain of command convince them that this was the right thing to do and do all of this on electronic medium.	To była delikatna materia musieliśmy dotrzeć do najwyższego dowództwa przekonać ich że to jest dokładnie to co trzeba zrobić i przeprowadzić to wszystko przy pomocy mediów elektronicznych.
A sposobem na zadanie tego pytania jest spojrzenie na Neandertalczyka pochodzącego z Europy Południowej i porównanie go z genomami ludzi, którzy żyją dzisiaj.	And the way to ask that question is to look at the Neanderthal that comes from Southern Europe and compare it to genomes of people who live today.	I sposobem zadania tego pytania jest przyjrzenie się neandertalczykom z Europy Południowej i porównanie ich do genomów współczesnych ludzi.
Zdecydowaliśmy, że musimy poprzeć słowa czynami.	We decided that we needed to put our money where our mouth is.	Postanowiliśmy że musimy poprzeć słowa czynami.
BUM.	Boom.	Bum!
Aby zacząć odpowiadać na takie pytania, moja grupa badawcza od ponad 25 lat pracuje nad metodami ekstrakcji DNA z pozostałości neandertalczyków i wymarłych zwierząt, które mają dziesiątki tysięcy lat.	And to begin to answer such questions my research group since over 25 years now works on methods to extract DNA from remains of Neanderthals and extinct animals that are tens of thousands of years old.	I by zacząć odpowiadać na takie pytania moja grupa badawcza od przeszło 25 lat pracuje nad metodami ekstrakcji DNA z pozostałości neandertalczyków i wymarłych zwierząt które mają dziesiątki tysięcy lat.
Poszliśmy dalej, nawiązaliśmy współpracę z University of Technology Jamaica, gdzie teraz mam nominację.	We have gone further we have formed a relationship with the University of Technology Jamaica where I now have an appointment.	Poszliśmy dalej nawiązaliśmy kontakt z Uniwersytetem Technologicznym na Jamajce. gdzie obecnie wykładam.
Wiesz, to będzie zmienne.	You know it is going to be variable.	Rozumiecie są różne przypadki.
Więc powiedziałem: Tak, zostawię to tutaj na dwa miesiące.	So I said Yeah I will leave it here for two months.	Ja na to Cóż zostawiam go tu na 2 miesiące.
Innymi słowy, wykorzystaj to skupienie, aby zmotywować to dziecko – to jedna z rzeczy, które musimy zrobić.	In other words use that fixation in order to motivate that kid that is one of the things we need to do.	Innymi słowy należy wykorzystać obsesję żeby zmotywować dziecko tym musimy się zająć.
A ona powiedziała: „Cóż, to ładne, ale wiesz, nasz kolor to naprawdę zielony”. I wtedy nauczyłem się, że słuchanie to nie tylko cierpliwość, ale że kiedy żyjesz z jałmużny i jesteś zależny przez całe życie, naprawdę trudno jest powiedzieć, co masz na myśli.	And she said Well it is pretty but you know our color really it is green And I learned then that listening isn not just about patience but that when you have lived on charity and dependent your whole life long it is really hard to say what you mean.	A ona powiedziała Cóż jest ładnie ale wiesz ten kolor tak naprawdę jest zielony. I I dowiedziałam się że słuchanie nie polega jedynie na cierpliwości ale jeśli utrzymujesz się z pracy charytatywnej i od tego uzależniasz całe swoje życie naprawdę ciężko jest powiedzieć co naprawdę myślisz.
A tamta to ona.	And then that is her over there.	Widzicie ją teraz.
Chcieli integracji zespołu, czyli maszyna działająca na członków zespołu, a nie odwrotnie.	They wanted band integration that is the machine acting upon the band members specifically not the other way around.	Zespół miał byś zinetgrowany maszyna miała działać w oparciu o członków zespołu a przede wszystkim nie na odwrót.
I postawił mi wyzwanie, żeby wymyślić pokój z iluzjami optycznymi.	And he got me challenged to figure out an optical illusion room.	Rzucił mi wyzwanie miałam opracować salę złudzeń optycznych. Rzucił mi wyzwanie miałam opracować salę złudzeń optycznych.
"Dwa miesiące później, a jest to już udokumentowane w czasopiśmie ""Information Technology for International Development"", akcenty zmieniły się i były niezwykle zbliżone do neutralnego brytyjskiego akcentu, w którym trenowałem syntezator mowy na tekst."	Two months later and this is now documented in the Information Technology for International Development journal that accents had changed and were remarkably close to the neutral British accent in which I had trained the speech to text synthesizer.	Dwa miesiące później napisaliśmy na ten temat artykuł w czasopiśmie Informatyka w kształceniu  ich akcent się zmienił i był znacznie bliższy neutralnemu brytyjskiemu akcentowi na którym trenowałem program.
Powiedziałem: „Nie, użyj metody babci”.	I said No use the method of the grandmother.	Odparłem Nie użyj metody babci.
Myślę, że naszym wrogiem była fizyka, a ona jest okrutną kochanką.	I think our enemy was physics and she is a cruel mistress.	Myślę że naszym wrogiem była fizyka a jest ona okrutną kochanką.
