Zdjęcie satelitarne spoglądające na ziemię.	A satellite picture looking down at the earth.	Zdjęcie satelitarne Ziemii.	4.5
I to nie jest w jakimś abstrakcyjnym, metaforycznym sensie.	And this is not in some abstract metaphorical sense.	I to nie abstrakcyjnie czy metaforycznie.	4.5
Może kontemplować znaczenie nieskończoności i zadawać pytania o znaczenie własnego istnienia w naturze Boga.	It can contemplate the meaning of infinity ask questions about the meaning of its own existence about the nature of God.	nad znaczeniem nieskończoności zapytać o sens własnego istnienia i o naturę Boga.	4
Patrząc na proporcje i kombinacje różnych rodzajów pyłków w próbce, można bardzo dokładnie określić, skąd pochodzi.	By looking at the proportions and combinations of different kinds of pollen in a sample you can tell very precisely where it came from.	Patrząc na proporcje pyłków w badanej próbce Patrząc na proporcje pyłków w badanej próbce można precyzyjnie określić skąd ona pochodzi.	4.583333333
A więc takie są konsekwencje.	So those are the consequences.	To są więc konsekwencje.	4.5
DR Ma on idzie.	DR Ma he is walking.	DR Mamo on chodzi.	4.5
I to finansuje wiele moich badań.	And it funds a lot of my research.	Finansowanych jest z niego wiele moich badań.	4.75
A teraz chcesz, żebym oddał te pieniądze i wysłał je nieznajomemu.	And now you want me to give up this money and ship it to a stranger.	a potem chce żebyś oddał te pieniądze obcemu?	4.5
Co wydarzyło się w ciągu ostatnich 15 lat z tą pracą.	What has happened in the last 15 years with this work.	Co działo się z tymi badaniami na przestrzeni ostatnich 15 lat?	4.333333333
Będę grał na tych rockowych koncertach, stojąc na scenie zupełnie nieruchomo, a oni mówią: Co ona robi? Co ona robi.	I will play at these rock shows be on stage standing completely still and they are like What is she doing What is she doing.	Gram na koncertach rockowych stoję bez ruchu na scenie. Co ona robi?	4.166666667
Aby przekształcić to nieprzezroczyste 90000 godzin wideo w coś, co moglibyśmy zacząć widzieć, używamy analizy ruchu, aby wyciągnąć, gdy poruszamy się w przestrzeni i w czasie, co nazywamy robakami czasoprzestrzennymi.	In order to convert this opaque 90000 hours of video into something that we could start to see we use motion analysis to pull out as we move through space and through time what we call space time worms.	W celu przekonwertowania tych złożonych 90 tys. godzin nagrań video w coś co moglibyśmy zacząć rozumieć korzystamy z analizy ruchu w celu wydobycia w miarę jak poruszamy się w czasie i przestrzeni tzw. robaków czasoprzestrzennych .	4.166666667
Dlaczego na początku XXI wieku pokazałem, że kraje z wyższym odsetkiem ludzi godnych zaufania są bardziej zamożne.	Why I had shown in the early 2000s that countries with a higher proportion of trustworthy people are more prosperous.	Dlaczego? Wykazałem około roku 2000 że kraje z wyższym odsetkiem wiarygodnych ludzi lepiej prosperują.	4.833333333
Więc chociaż boję się wysokości, niedawno przypiąłem się do innego człowieka i wysiadłem z samolotu na wysokości 12000 stóp.	So even though I have a fear of heights I recently strapped myself to another human being and stepped out of an airplane at 12000 ft.	więc ostatnio mimo tego że mam lęk wysokości pozwoliłem przypiąć się do innego człowieka i wyskoczyłem z samolotu na wysokości 3650 metrów.	4.166666667
A potem pojechałem na spotkanie do Włoch.	And but then I went to a meeting in Italy.	I później udałem się na konferencję do Włoch.	3.833333333
Ponieważ tak właśnie się robi z pękniętą szybą.	Because that is what you do with a cracked pane.	Bo tak się właśnie robi z pękniętą szybą.	4.833333333
Margines błędu jest wąski Tutaj podaję oczekiwaną długość życia w chwili urodzenia od 30 lat w niektórych krajach do około 70 lat.	The error margin is narrow Here I put life expectancy at birth from 30 years in some countries up to about 70 years.	Margines błędu jest mały. Tu wpisałem oczekiwaną średnią długość życia przy urodzeniu od 30 lat w niektórych krajach aż do około 70 lat.	4.5
Jednym z pytań, z którego wiele się nauczyłem, było to: Który kraj ma najwyższą śmiertelność dzieci spośród tych pięciu par.	And one of the questions from which I learned a lot was this one Which country has the highest child mortality of these five pairs.	Jedno z pytań z których się wiele dowiedziałem było następujące W którym kraju z tych pięciu par jest najwyższa śmiertelność wśród dzieci?	4.25
Okablowane zwykle przewodem 14 AWG.	Wired with 14 gauge wire typically.	Zwykle jest wyposażony w kabel kalibru 14.	4.166666667
Ale po prostu zapytaj, jaka cząsteczka ma się złożyć.	But just ask what the molecule how should it fold up.	Ale pojawiło się pytanie jak ta molekuła jest zwinięta?	4.25
Jeśli coś nie jest idealne, jeśli nie pasuje do tego z premedytacją modelu śmietnika.	If something isn not perfect if it doesn not line up with that premeditated model dumpster.	Jeśli coś nie jest doskonałe jeśli nie pasuje do zaplanowanego modelu do kosza.	4.083333333
Ups, to ups, to Landfill Landfill Landfill.	Oops this oops that Landfill Landfill Landfill.	Ups to ups tamto. Śmietnik. Śmietnik. Śmietnik.	3.5
Teraz cały ten apolliński model platoński jest tym, na czym opiera się przemysł budowlany, a jest wiele rzeczy, które to pogarszają.	Now all that that Apollonian Platonic model is what the building industry is predicated on and there are a number of things that exacerbate that.	Więc cały ten apolliński platoński model to na nim się opiera przemysł budowlany i kilka rzeczy to jeszcze pogarsza.	4.333333333
Co o tym myślisz kochanie.	What do you think honey.	Co o tym myślisz kochanie?	4.583333333
Biolog Lewis Wolpert uważa, że ​​dziwaczność współczesnej fizyki to tylko skrajny przykład Nauka w przeciwieństwie do technologii narusza zdrowy rozsądek.	The biologist Lewis Wolpert believes that the queerness of modern physics is just an extreme example Science as opposed to technology does violence to common sense.	Biolog Lewis Wolpert jest przekonany że dziwność współczesnej fizyki to tylko skrajny przykład. Nauka w przeciwieństwie do technologii krzywdzi zdrowy rozsądek.	3.833333333
Jednak jako muzyk muszę robić wszystko, czego nie ma w muzyce.	However what I have to do as a musician is do everything that is not on the music.	Jako muzyk zajmuję się jednak tym czego w nutach nie ma.	4
Ale myślę, że chodzi o to, że te osoby mają te osobowości i charaktery.	But that is I think what this is all about is that these individuals have these personalities and characters.	Myślę że właśnie o to w tym wszystkim chodzi te wszystkie zwierzęta mają swoje osobowości i charaktery.	4.333333333
Muszę zagrać kawałek muzyki. No cóż, to pomoże ci kontrolować.	I need to play a piece of music Oh well this will help your control.	Oni To pomaga wyćwiczyć kontrolę .	3.333333333
Teraz jestem skazany na spędzenie dużo czasu z wyjątkowymi, bardzo wyjątkowymi indywidualistycznymi i często uwodzicielskimi postaciami kobiecymi.	Now I am destined to spend a lot of time with some unique very very special individualistic and often seductive female characters.	Coż jestem skazany na spędzanie mnóstwa czasu z wyjątkowymi bardzo bardzo szczególnymi indywidualistycznymi i często uwodzicielskimi istotami płci żeńskiej.	4.333333333
Pamiętam mojego nauczyciela Kiedy zacząłem swoją pierwszą lekcję, byłem przygotowany z patykami gotowymi do wyjścia.	I remember my teacher When I first started my very first lesson I was all prepared with sticks ready to go.	Pamiętam że na pierwszą lekcję przyszłam z pałkami gotowa grać.	3.583333333
Urządzenie radiowe kontroluje każdy mój krok, a czujnik podnosi moją stopę za każdym razem, gdy idę.	A radio device is controlling every step I take and a sensor picks up my foot for me every time I walk.	Urządzenie radiowe kontroluje każdy krok który robię. I czujnik podrywa moją stopę do góry za mnie za każdym razie kiedy idę.	4.25
Zrobię dokładnie to, co mi powiedziano.	I will do exactly as I am told.	Zastosuję się do nich co do joty.	4.166666667
Więc niebiosa Co miałem zrobić, nie potrzebowałem już patyków, nie pozwolono mi ich mieć.	So heavens What was I to do I no longer required the sticks I wasn not allowed to have these sticks.	Nie wiedziałam co robić. Kazał nie używać pałek. Nie wiedziałam co robić. Kazał nie używać pałek.	3.916666667
DJ To było niesamowite, bo widać, że ten lew robi dokładnie to, co ma na imię. Skupia się na tej hienie i zamierza to dostać.	DJ It was amazing because you can see that this lion is doing exactly what his name He is focused on this hyena and he is going to get it.	Dereck To niezwykłe ale możecie się przekonać że ten lew robi dokładnie to Skupił się na tej hienie i dopadnie ją.	4.083333333
I zmieni świat, jaki znamy.	And it is going to change the world as we know it.	Zmieni to świat który znamy.	4.25
A co z tymi wszystkimi dzieciakami jak ja, które były w szkole, tak jak niektórzy z was, którzy byli w szkole i nie mieli szansy i nigdy nie będą mieli szansy uczestniczyć w nauce i technologii.	What about all the kids like me that were in school kids like some of you out there that were in school and didn not get a chance and will never get a chance to participate in science and technology.	Co z dziećmi jak ja takimi jak niektórzy z was które chodziły do szkoły ale nie miały okazji zaznajomić się z nauka i technologią?	3.5
Jeśli korzystasz z Twittera lub innych sieci społecznościowych i nie zdawałeś sobie sprawy, że jest to przestrzeń z wieloma Brazylijczykami, jesteś jak większość z nas.	Now if you are using Twitter or other social networks and you didn not realize this was a space with a lot of Brazilians in it you are like most of us.	Jeśli używacie Twittera lub innych portali i nie zdajecie sobie sprawy że jest tam sporo Brazylijczyków to witam w klubie.	3.75
Tak więc Brazylijczycy udali się na ten pierwszy mecz z Koreą Północną, rozwiesząc ten baner, rozpoczęli kampanię na Twitterze i próbowali przekonać resztę z nas do tweetowania frazy Cala a boca Galvao.	So Brazilians went to that first match against North Korea put up this banner started a Twitter campaign and tried to convince the rest of us to tweet the phrase Cala a boca Galvao.	Brazylijczycy poszli na pierwszy mecz z Koreą Północną wzięli ten baner zaczęli kampanię na Twitterze i spróbowali przekonać innych żeby wrzucić wyrażenie Cala a boca Galvao .	4.166666667
Ale tym, który naprawdę mnie stresuje, że nie byłem w stanie zrozumieć, jest to wyrażenie Cala a boca Galvao.	But the one that is really been sort of stressing me out that I haven not been able to figure out is this phrase Cala a boca Galvao.	Ale wyrażeniem które mnie denerwowało którego nie mogłem rozgryźć Cala a boca Galvao .	4.083333333
Niektóre z nich najważniejsze są mentalne.	Some of them the most important are mental.	A jeszcze inne najważniejsze umysłowe.	3.5
Na koniec pokażę przykładową historię kota Dusty'ego.	And last I am going to show you the example the story of Dusty the cat.	Na koniec pokażę wam przykład historię kota Dusty ego.	3.583333333
Mózg to mózg, który w ogóle nie potrzebuje oprogramowania 3D, ponieważ żyje na powierzchni stawu na równinie Edwina Abbotta.	A water strider is brain doesn not need 3D software at all since it lives on the surface of the pond in an Edwin Abbott flatland.	Mózg nartnika wodnego w ogóle nie potrzebuje pojęcia 3D ponieważ żyje na powierzchni wody we flatlandii Edwina Abbotta.	3.083333333
Twoim zadaniem jest wydobywać takie rzeczy na pierwszym planie i wprowadzać je na karty historii.	Your job is to excavate things like this in the foreground and make them enter the pages of history.	Wydobywamy to co widać w tle żeby odnotować to w historii dziejów.	3.833333333
Następnie przenosi nas do współczesności mój kolega współpracownik i ekspert w dziedzinie kymatyki, John Stewart Reed.	Then bringing us into the present day is a fellow collaborator of mine and cymatics expert John Stewart Reed.	Wracając zaś do teraźniejszości przykładem jest mój współpracownik i ekspert w dziedzinie kymatyki John Stewart Reed.	4.5
Więc masz te trzy tajemnice.	So you have these three mysteries.	Mamy te trzy zagadki.	4.5
I tak ten materiał wyjściowy wraca do podstawowego budulca.	And so this starting material is back to the basic building block.	I tak ten materiał początkowy na nowo staje się podstawowym elementem budulcowym.	4.5
Odkryłem, że generał Tso to krewni, którzy wciąż są w małym miasteczku.	And I actually found a whole bunch of General Tso is relatives who are still in the little town.	I odnalazłam wielu krewnych generała którzy wciąż tu mieszkają.	3.416666667
Ale możemy popchnąć ten pomysł dalej.	But we can push this idea further.	Możemy pójść dalej.	4.666666667
Cóż, byłem dorosłym mężczyzną, który miał wszystkie te rytuały i stało się tak, że poczułem pulsowanie, aw mojej głowie był okrutny strach.	Well I was a grown man who had all of these rituals and it got so there was a throbbing there was a ferocious fear in my head.	Byłem dorosłym człowiekiem a rządziły mną wszystkie te nawyki i doszło do tego że miałem w głowie poczucie pulsującego dzikiego lęku.	4.25
Dam ci przykład.	I will give you an example.	Dam wam przykład.	4.666666667
Pokazałem im wszystkie zdjęcia generała Tso Chicken, które ci pokazałem i są tak, jakbyśmy nie znali tego dania.	Showed them all the pictures of General Tso Chicken that I showed you and they are like we don not know this dish.	Pokazałam im te same zdjęcia kurczaka generała Tso co wam. Nikt z nich nie znał tej potrawy.	3.333333333
Co to jest.	What is this.	Co to?	4.833333333
Chcemy wiedzieć, jak przechodzisz od wody i białka do płynnego Kevlaru do tego naturalnego Kevlaru.	We want to know how you go from water and protein to this liquid Kevlar to this natural Kevlar.	Chcemy wiedzieć jak z wody i białka dojść do tego płynnego kevlaru naturalnego kevlaru.	4.416666667
Więc nie jestem wolny od tego wszystkiego. Ale działa. Zawsze działa.	So I am not free of all of this But it is worked It is always worked.	Nie byłem w stanie uwolnić się od niej zupełnie. Ale to zadziałało. To zawsze działało.	3.666666667
Mój ojciec życzliwie obserwował demonstracje w miesiącu maju, ale jego serce było gdzie indziej, podobnie jak jego czas, ponieważ miał ponad 15 krajów do służby.	My father watched benevolently of course the demonstrations of the month of May but his heart was elsewhere and so was his time because he had over 15 countries to serve.	Mój ojciec obserwował oczywiście życzliwie demostracje w maju ale jego serce było gdzie indziej miał 15 krajów do obsłużenia.	4
Wszystkie ruchy zatrzymały się na fałszowaniu.	All the movements stopped at falsifying.	Wszystkie ruchy zatrzymywały się przy falsyfikowaniu.	4.583333333
Nie możemy już się rozszerzać, ponieważ powoduje to erozję granic planetarnych.	We cannot expand anymore because it erodes the planetary boundaries.	Nie możemy się bardziej rozszerzać bo to nadszarpuje granice planetarne.	4.083333333
Zaczął prasę Zaczął grawerować.	He started a press He started photoengraving.	Uruchomił prasę. Zajął się fotograwiurą.	3.5
Zrobiłem kampanię reklamową dla firmy Schweppes, czyli Coca Cola i była to bardzo ciekawa pod względem prawnym.	I did an advertising campaign for Schweppes which is Coca Cola and so that was very interesting in terms of the legalities.	Zrobiłam kampanię reklamową Schweppes a dla Coca Coli i to było bardzo ciekawe jeśli chodzi o zgodność z prawem.	4
Były to oczywiście ofiary finansowe, ponieważ zawsze odmawiał zapłaty.	There were obviously financial sacrifices because he always refused to be paid.	Były oczywiście finansowe ofiary ponieważ zawsze odmawiał zapłaty.	4
To jest wtedy odpowiednik Wielkiego Wybuchu dla ludzkiego rozwoju w bezpiecznej przestrzeni operacyjnej granic planetarnych.	Now this is the Big Bang equivalent then of human development within the safe operating space of the planetary boundaries.	To jest odpowiednik Wielkiego Wybuchu w rozwoju ludzkości wewnątrz bezpiecznej przestrzeni planetarnych granic.	4
Ale nawet w twardym obszarze polityki mamy innowacje.	But even on the hard policy area we have innovations.	Innowacje pojawiają się również w cięższych obszarach polityki.	4.166666667
Mój ojciec robił fałszywe dokumenty dla amerykańskich dezerterów, którzy nie chcieli brać broni przeciwko Wietnamczykom.	My father made false papers for the American deserters who did not wish to take up arms against the Vietnamese.	Mój ojciec wyrabiał fałszywe papiery dla amerykańskich dezerterów którzy nie chcieli walczyć przeciw Wietnamczykom.	4.25
W każdym razie nikt by ich nie śledził, z wyjątkiem garstki mężczyzn i kobiet z przekonaniem i odwagą.	Anyhow nobody would have followed them except for a handful of men and women of conviction and courage.	Tak czy owak nikt by za nimi nie podążał poza garstką mężczyzn i kobiet z przekonaniem i odwagą.	4.583333333
I wszystko, co mogłem wykryć, to ta energia.	And all I could detect was this energy energy.	Docierała do mnie jedynie energia.	4.416666667
Ta seria wystaw została stworzona specjalnie po to, aby spróbować zakwestionować ideę tego, co oznaczałoby teraz, w tym momencie historii, postrzeganie sztuki jako katalizatora, co to znaczy teraz, w tym momencie historii, kiedy definiujemy i redefiniujemy kulturę czarnej kultury, szczególnie w moim przypadek, ale ogólnie kultura.	This series of exhibitions was made specifically to try and question the idea of what it would mean now at this point in history to see art as a catalyst what it means now at this point in history as we define and redefine culture black culture specifically in my case but culture generally.	Ta seria wystaw została stworzona specjalnie po to by zadać pytanie co znaczy dziś w tym momencie historii widzieć sztukę jako katalizator co znaczy dziś w tym momencie historii kiedy definiujemy i redefiniujemy kulturę kulturę afroamerykańską w moim przypadku ale też kulturę ogólnie.	3.666666667
W tym momencie stałem się trochę bardziej ambitny i postanowiłem zobaczyć, co jeszcze mogą zrobić dzieci z komputerem.	At that point I became a little more ambitious and decided to see what else could children do with a computer.	Od tej pory stałem się ambitniejszy i postanowiłem zobaczyć co jeszcze potrafią zrobić dzieci z komputerem.	4.5
Nie możesz słusznie, to nie ich odpowiedzialność, to moja odpowiedzialność, ja muszę zająć się własnymi problemami.	You can not rightly it is not their responsibility it is my responsibility I have to take care of my own problems.	To się nie uda. To nie ich odpowiedzialność. To moja odpowiedzialność. Sam muszę sobie poradzić z własnymi problemami.	4.333333333
To było wrażliwe, że musieliśmy iść w górę hierarchii dowodzenia, przekonać ich, że to jest słuszne, i zrobić to wszystko na nośniku elektronicznym.	It was sensitive we had to go up the chain of command convince them that this was the right thing to do and do all of this on electronic medium.	To była delikatna materia musieliśmy dotrzeć do najwyższego dowództwa przekonać ich że to jest dokładnie to co trzeba zrobić i przeprowadzić to wszystko przy pomocy mediów elektronicznych.	4.083333333
Sposobem na zadanie tego pytania jest przyjrzenie się neandertalczykowi pochodzącemu z południowej Europy i porównanie go z genomami ludzi, którzy żyją dzisiaj.	And the way to ask that question is to look at the Neanderthal that comes from Southern Europe and compare it to genomes of people who live today.	I sposobem zadania tego pytania jest przyjrzenie się neandertalczykom z Europy Południowej i porównanie ich do genomów współczesnych ludzi.	4.583333333
Zdecydowaliśmy, że musimy postawić nasze pieniądze tam, gdzie są nasze usta.	We decided that we needed to put our money where our mouth is.	Postanowiliśmy że musimy poprzeć słowa czynami.	3.666666667
Bum.	Boom.	Bum!	5
Aby zacząć odpowiadać na takie pytania, moja grupa badawcza od ponad 25 lat pracuje nad metodami ekstrakcji DNA ze szczątków neandertalczyków i wymarłych zwierząt, które mają dziesiątki tysięcy lat.	And to begin to answer such questions my research group since over 25 years now works on methods to extract DNA from remains of Neanderthals and extinct animals that are tens of thousands of years old.	I by zacząć odpowiadać na takie pytania moja grupa badawcza od przeszło 25 lat pracuje nad metodami ekstrakcji DNA z pozostałości neandertalczyków i wymarłych zwierząt które mają dziesiątki tysięcy lat.	4.916666667
Poszliśmy dalej, nawiązaliśmy współpracę z University of Technology Jamaica, gdzie mam teraz spotkanie.	We have gone further we have formed a relationship with the University of Technology Jamaica where I now have an appointment.	Poszliśmy dalej nawiązaliśmy kontakt z Uniwersytetem Technologicznym na Jamajce. gdzie obecnie wykładam.	3.833333333
Wiesz, że to będzie zmienne.	You know it is going to be variable.	Rozumiecie są różne przypadki.	4.5
Więc powiedziałem: Tak, zostawię to tutaj na dwa miesiące.	So I said Yeah I will leave it here for two months.	Ja na to Cóż zostawiam go tu na 2 miesiące.	4.5
Innymi słowy, użyj tej fiksacji, aby zmotywować tego dzieciaka, co jest jedną z rzeczy, które musimy zrobić.	In other words use that fixation in order to motivate that kid that is one of the things we need to do.	Innymi słowy należy wykorzystać obsesję żeby zmotywować dziecko tym musimy się zająć.	3.583333333
I powiedziała: Cóż, to jest ładne, ale znasz nasz kolor naprawdę jest zielony I nauczyłem się wtedy, że słuchanie to nie tylko kwestia cierpliwości, ale że kiedy żyjesz z miłości i jesteś zależny przez całe życie, naprawdę trudno jest powiedzieć, co masz na myśli .	And she said Well it is pretty but you know our color really it is green And I learned then that listening isn not just about patience but that when you have lived on charity and dependent your whole life long it is really hard to say what you mean.	A ona powiedziała Cóż jest ładnie ale wiesz ten kolor tak naprawdę jest zielony. I I dowiedziałam się że słuchanie nie polega jedynie na cierpliwości ale jeśli utrzymujesz się z pracy charytatywnej i od tego uzależniasz całe swoje życie naprawdę ciężko jest powiedzieć co naprawdę myślisz.	3.666666667
A potem to jest ona tam.	And then that is her over there.	Widzicie ją teraz.	3.916666667
Chcieli integracji zespołu, czyli maszyny działającej na członków zespołu, a nie odwrotnie.	They wanted band integration that is the machine acting upon the band members specifically not the other way around.	Zespół miał byś zinetgrowany maszyna miała działać w oparciu o członków zespołu a przede wszystkim nie na odwrót.	3.75
Wyzwał mnie, bym wymyślił pokój z iluzjami optycznymi.	And he got me challenged to figure out an optical illusion room.	Rzucił mi wyzwanie miałam opracować salę złudzeń optycznych. Rzucił mi wyzwanie miałam opracować salę złudzeń optycznych.	3.916666667
Dwa miesiące później i jest to teraz udokumentowane w czasopiśmie Information Technology for International Development, że akcenty się zmieniły i były niezwykle zbliżone do neutralnego brytyjskiego akcentu, w którym nauczyłem się przemawiać na syntezatorze tekstu.	Two months later and this is now documented in the Information Technology for International Development journal that accents had changed and were remarkably close to the neutral British accent in which I had trained the speech to text synthesizer.	Dwa miesiące później napisaliśmy na ten temat artykuł w czasopiśmie Informatyka w kształceniu  ich akcent się zmienił i był znacznie bliższy neutralnemu brytyjskiemu akcentowi na którym trenowałem program.	3.833333333
Powiedziałem Nie używaj metody babci.	I said No use the method of the grandmother.	Odparłem Nie użyj metody babci.	4
Myślę, że naszym wrogiem była fizyka, a ona jest okrutną kochanką.	I think our enemy was physics and she is a cruel mistress.	Myślę że naszym wrogiem była fizyka a jest ona okrutną kochanką.	4.416666667
Więc to się nazywa Victoria Crater, który ma rozmiar kilku boisk piłkarskich.	So this is called Victoria Crater which is about a few football fields in size.	Krater Victoria ma powierzchnię kilku boisk futbolowych. Krater Victoria ma powierzchnię kilku boisk futbolowych.	4
Gospodarz Dziękuję Dziękuję.	Host Thank you Thank you.	Prowadząca Dziękuję. Dziękuję.	4.416666667
A ten Rover będzie bardziej podobny do chemika.	And that Rover will be more kind of like a chemist.	Ten łazik będzie chemikiem.	3.583333333
W rzeczywistości dzielimy tę samą genealogię z lodem Ozziem.	We actually share the same genealogy with Ozzie the iceman.	Właściwie to mamy to samo pochodzenie co człowiek lodu Ozzie.	3.333333333
Pozwólcie, że przejdę do następnego krótkiego filmu.	So let me go on the next short video.	Oto filmik.	4.5
PM Jeśli możesz to przekazać, kiedy skończysz. Tak myślę, że straciłem trochę orientacji. Spojrzałem w górę, w to światło.	PM If you can pass it down when you are done Yeah I think I lost a little orientation I looked up into this light.	Jakbyś mógł to przekaż nam kiedy skończysz. Myślę Straciłem orientację przez patrzenie w światło ale.	3.916666667
Musimy więc zbadać różne rodzaje materiałów, aby uzyskać kształt, który chcemy uzyskać.	So we have to study all kinds of different materials the shape that we want to do.	Badamy różne materiały różne konstrukcje.	3.916666667
Pomyśl więc o tym jak o cienkim jak papier, ogromnym obszarze wielu setek tysięcy mil, który się obraca.	So think about it as a paper thin huge area of many hundreds of thousands of miles which is rotating.	Wyobraźcie sobie że to cieniutki wirujący obszar szeroki na dziesiątki tysięcy kilometrów.	4
To jeden bardzo duży krater. Geolodzy uwielbiają kratery, ponieważ kratery są jak kopanie dużej dziury w ziemi bez konieczności wykonywania w niej prawdziwej pracy i można zobaczyć, co znajduje się pod powierzchnią.	This is one very large crater Geologists love craters because craters are like digging a big hole in the ground without really working at it and you can see what is below the surface.	Geolodzy uwielbiają takie kratery bo to jakby gotowy odwiert bo to jakby gotowy odwiert pokazujący przekrój gleby.	3.833333333
Spróbuj najpierw zbudować porozumienie polityczne.	Try and build a political settlement first.	Najpierw jest próba zbudowania ośrodka politycznego.	4
Okazało się, że nasz kamerzysta był dość nerwowym pilotem w najlepszym wypadku, zanim wsiedliśmy do samolotu, zapytał pilota, ile czasu zajmie ten lot, a pilot rosyjski kompletnie z powagą odpowiedział: Sześć godzin, jeśli będziemy żyć.	Our cameraman who it turned out was a pretty nervous flyer at the best of times actually asked the pilot before we got on the plane how long this flight would take and the pilot Russian pilot completely deadpan replied Six hours if we live.	Nasz kamerzysta który bał się latać zapytał pilota zanim weszliśmy na pokład jak długo będziemy lecieć a pilot rosyjski pilot całkowitą powagą odpowiedział Sześć godzin jeżeli przeżyjemy .	3.5
Z jednej strony deklaruje ideę odbudowy efektywnego państwa na wzór Skandynawii lat pięćdziesiątych.	On the one hand it pays lip service to the idea of rebuild an effective state in the image of Scandinavia in the 1950s.	Z jednej strony opłaca się udzielać nieszczerego poparcia idei odbudowy efektywnego państwa na wzór Skandynawii w latach 1950.	4.583333333
I dlaczego jest to takie trudne na początku.	And why is it so difficult initially.	Dlaczego na początku jest taka trudna?	4.583333333
Chcę mówić doskonale po angielsku.	T I want to speak perfect English.	N Chcę mówić po angielsku idealnie!	4.666666667
Stopniowo zmieniał się od polityki grabieży do polityki nadziei Dziękuję.	Gradually it would shift from a politics of plunder to a politics of hope Thank you.	Stopniowo nastąpiłoby przejście od polityki rabunkowej do polityki nadziei. Dziękuję.	4.333333333
Przeczytam jeszcze jedną, ale zwykle tego nie mówię.	I will read just one more I don not usually say that.	Przeczytam jeszcze tyko jeden. Zwykle tego nie mówię.	4.666666667
Niedźwiedzie polarne na Oceanie Arktycznym poruszają się po martwych liniach prostych.	Polar bears on the Artic Ocean move in dead straight lines.	Niedźwiedzie polarne na Oceanie Arktycznym przemieszczają się w idealnej linii prostej.	4.25
